idForum,idDiscussion,subject,message,parent
5722,24246,Problemas con el sistema operativo MacOs Catalina?,parratsaldeonp pyo problem entro safari blackbird collaborate permit activ tod vide aunque ven no escucha embargo entro chrome vide ven escucha per embargo no puede comparte aplica program present pow point present traves comparte archiv cas aunque ven diposit no activ enlace internet eso andar entran sal sesion nave no puede hac sol entiendo ideal hablo chrome perp p p por intent aunque abre venta triple opcion tod pantalla venta aplica pestaña chrome unic realmente funcion ultima p p p pno se si solucion aunque dichos catalan acostumbra ten problema p p peskerrik asp,0
5722,24280,Descarga grabaciones,buen dias pas grabacion sesion traves ngel descarga perfect no encuentra manera descarga grabacion sesion traves hileras seguir facilisim no veo opcion eskerrik asp pteresep,0
5722,24378,Uso individual alumnado BBC ,pegunonp per modus zaudetep empezo usando bbc evaluo individual cas practica alumno permit grabacion prueba enlace bbc excusa alumno sala bbc individual temporalizacion  primer conecta vem tecnologia va bien audi vide dej un  cas mediante chat por cuestion organizacion  gustaria dej cas entren dispone tiempo preparacion parece no ven caso pose parece que chat permanezca habra estar dos participo vez simplemente si alumno entrada comprobo audi vide sal voy posterior pong cas ver toque turno peskerik asp virginia,0
5722,24412,Grabaciones,buen dias peng archiv grabacion tfm realizo semana  marz confio mayor part tribunal traslado enlace grabacion blackbird dos preguntas ol list grabacion mantiene miente blackbird activ guard grabacion algun sitio li¿com puede descarga grabacion guard ordenador ol susan uriarte,0
5722,24414,Sobre cómo borrar una parte de lo escrito en vez de toda la pantalla.,polar pcu escribe lapiz blacboard o lapiz digital tablet encima document comparte pizarra blanc quier born sol detall part escrito no se com hac si doy icon born born escrito pantalla compartiendo p¿sab com hac born sol parte pepper respuesta much gracias poner,0
5722,24415,¿Se puede mejorar el retardo que hay desde cuando escribimos algo en la pantalla a cuando lo ven los otros asistentes?,polar peng pregunta pcu voy escribe lapiz encima document comparte pizarra blanc dad cuenta por comentario asistente viene luego grabacion demas ven lengua retardo escribe ¿hay algun manera solucion mejor estos pepper respuesta much gracias poner p p,0
5722,24420,Opciones para compartir en la misma pantalla dos documentos o un documento y la pizarra blanca.,pol nuevo pme gust sab si posible comparte mismo venta sesion blacboard collaborate dos cos vez refiere comparto mismo tiempo aunque tamaño pequeña tamaño grande p por ejemplo utiliza blacboard collaborate gust comparte dos cos vez peo no sab hac se si podr hace p dos document agrega apart comparte archive p pizarra blanc document del apart comparte archive p pizarra blanc document del apart comparte archiv document escritor ordenador pre cos quer comparte mismo tiempo trabajo mejor no sab com hace much gracias poner,0
5722,24440,Compartir archivos de video en collaborate,pkaixop p p p¿es posible comparte archiv vide blackbird intent cargo vide grab powerpoint grab collaborate dic no format admit ¿hay algun opcion pla dud vien organizo unas jorn expone entorno  present dia organizo consider exposicion online asign rol present cad participo moment permit comparte archiv puede ser complicado deb fall conexion internet cad uno alterna propuesta cad present prepara vide vide reproduzca online jorn ¿algun pista p p gracias,0
5722,24467,problemas con el acceso telefónico anónimo,buen tardes peng cuestion respect acces telefon anonimo blackbird collaborate la opcion accede usar nave piens hac exam oral alumno no acces internet puede ser buen opcion pel problem llama numer aparece sesion siempre comunica intent hecho aparece mensaje ingles dic met clave seg tel no entiendo bien cual es prob almohadilla sal mensaje error llama cuelga p¿cual proces seg entona pod conecta telefon accede navego much gracias,0
5722,24543,Cámaras visibles en blackboard,pde normal sol ven  cam bbc gustaria  sab puede hac puede vers cam simulan dia curs evaluo online comment podian ver p,0
5722,24575,Cómo limitar el uso del chat en una sesión BBC,polar igual no sent consult gust sab com puede limit uso prev chat participo sesion bbc pse com respond prev consult chat no se com limit uso prev chat alumno no puede comparte respuesta pregunta evaluo ejemplo saludos,0
5722,24651,Crear una sesión de BBC con invitado ajeno a la UPV/EHU y alumnado de UPV/EHU,segun onp pen marc asignatura impact actual organizo masterclass ponen empresa extern upvehu gust utiliza ello plataforma bbc pal ser person extern upvehu entiendo ponen no podr accede sesion bbc si cre traves ngel ello cre nuevo sesion ehu hileras ¿es mejor opcion pal edit configura sesion interpret invita ponen asign rol model cuenta mismo permis chart y just sesion asistente interpret alumno asign rol participo ¿es correcto tambien gust sab com puede comparte sesion ponen alumno ¿el enlace invita envio unic ponen alumno ¿deb usar enlace alumno dad no interes permis model cas afirma ¿cual enlace pmid espera pun saludo,0
5722,24662,Problemas con el micrófono de alumna dentro de Collaborate que necesito resolver para una prueba de evaluación,parratsald onp dentro unas semana voy realizo present trabajo utiliza collaborate estudi clas funcion correct micro puede hab embargo problem alumno concreto hecho prueba audi pes micro activ por skype demas plataforma funcion lang prueba dentro collaborate no detect audi hab traves micro desconozco si usando opcion llama telefon introduce pin permit pod hab traves telefon ademas oir audi padre cobre llama nacional verd no quier que aunque via alumno puede comunica padre asume cost extra p¿ex algun manera hac algun prueba extra dentro collaborate desconozco ver pas micro dentro collaborate llama cau dich orden no corpo alumno no permis met dentro orden ver paso peskerrik asp maite,0
5722,24676,efecto espejo,pno entiendo exact rep efecto espejo,0
5722,24798,Compartir video y audio con SAFARI,parratsald onp pun ponen tras siguiente dud no respuesta p utiliza safari quier comparte present anim vide p pal comparte pantalla visualiza present vide present puede comparte  ver no oyen p pno aparece chrome comparte audi pantalla comparte pestaña chrome pmid espera pidoiap,0
5722,24813,Sesion de Blackboard para el dia del examen,pkaixop pel dia reunion car exam hab usar enlace ehu hileras form si invita estudi sol bbc conecta prof dos clases  estudi ejemplo  p los alumno tendra rol participo dos prof rol moderpresent cual seri convenient derecho prof gener link sol puede dar rol model presentador  prof una vez dentro sal verd no puede asign antes pes asign rol previa boton derecho  bbc hileras no asi bbc asocia ngel sol dej asign mismo rol todos asimismo si ocurre algun form facil car dia exam agradece  cad grup bbc ngel quizas p p peskerrik ask eta ordo izan p p virginia p p,0
5722,24849,cómo cargar archivos para compartir antes del día de la videoconferencia,parratsald onp pal cre enlace videoconferent direct ngel ¿com docente tampoco pod accede reunion lleg dia sesion p con ello gust sab realmente si pod cargo archiv una present powerpoint ejemplo videoconferent dias lug lo cargo pes contiene much imagen si no hag no da tiempo p peskerrik asp pnaiarap,0
5722,25655,eGElatik BBC-n ikasleak ezin ikusi,pkaixop park bbc sai ikasleak ein gente ius eta hace gu ere ez irakasleak gur arte just gin eta ikasleak hai arte ere bai hau den ngel sortutak bbcn gertatz zitzaigun eta abren kanpotik sort beh izan dug best sai bat saint gar ngel tal ezarpenak eta audaz ea hora izan site bain torre ere ez dug lotus pbadakizu ein izan date arazoap peskerrik asp puse,0
5722,26479,Grabación perdida en EGELA,phe grab clas miente impact traves bbc  hor clas mast ngel cero sesion bbc acord par grabacion veo grabacion no ngel ocasiones p¿alguien sab si posible recupero grabacion ¿ condicion necesario par grabacion sal sesion que grabada gracia antemano part escapar p p,0
5722,26504,Visualización del chat en una grabación,polar pam hac exam oral via blackbird collaborate hecho prueba grabacion sesion p pla sesion grab problem problem visualiza posterior grabacion p si abro ngel desde grabacion asocia sesion abre pestaña nave visualiza tip blackbird collaborate mismo distrib venta puede visualiza chat problema p embargo si descarga grabacion abro reproductor vlc sol reproduce audi vide no veo chat supone canal adicional no consigo encontro com visualizlop p¿me podr indic com visualiza chat reproductor ajeno blackbird collaborate pe vlp gracias spuria,0
5722,26626,Disponible / En progreso,buen tardes p p peng vari aul abierto hileras unas aparece dispone en progreso ¿algun sab cual diferencia gracias cruz a echevarria,0
5722,27135,Compartir material en grupos en BBC,buen dias seg docencia virtual gust sab com comparte material distinto grup gener autocat bbc dec gust asign cad grup archiv trabajo luego comparte compañero ¿se puede hac solicita baj revela p gracias p pmª josep,0
